Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Max Aarons,eng ENG,DF,Bournemouth,24-363,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tyler Adams,us USA,MF,Bournemouth,25-322,1999,9,5,485,5.4,0,0,0,0,0,0,2,0,1.1,1.1,0.4,1.5,3,22,0,0.00,0.00,0.00,0.00,0.00,0.20,0.08,0.28,0.20,0.28
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-099,1997,9,7,623,6.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,18,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05
Simon Adingra,ci CIV,"FW,MF",Brighton,23-000,2002,13,4,430,4.8,2,1,3,2,0,0,0,0,0.9,0.9,0.7,1.6,17,7,66,0.42,0.21,0.63,0.42,0.63,0.19,0.14,0.34,0.19,0.34
Asher Agbinone,eng ENG,MF,Crystal Palace,19-095,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79
Ola Aina,ng NGA,DF,Nott'ham Forest,28-085,1996,19,19,1643,18.3,2,0,2,2,0,0,2,0,0.6,0.6,0.5,1.1,38,65,33,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-209,2001,18,18,1542,17.1,3,5,8,3,0,0,6,1,1.5,1.5,1.8,3.3,37,62,83,0.18,0.29,0.47,0.18,0.47,0.09,0.11,0.19,0.09,0.19
Kristoffer Ajer,no NOR,DF,Brentford,26-259,1998,10,9,717,8.0,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.2,15,27,16,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
Manuel Akanji,ch SUI,DF,Manchester City,29-166,1995,15,15,1276,14.2,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,30,112,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Nathan Aké,nl NED,DF,Manchester City,29-318,1995,7,5,452,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,38,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Carlos Alcaraz,ar ARG,MF,Southampton,22-032,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-086,1998,17,16,1310,14.6,1,4,5,1,0,0,3,0,0.7,0.7,5.3,5.9,33,107,52,0.07,0.27,0.34,0.07,0.34,0.05,0.36,0.41,0.05,0.41
Alisson,br BRA,GK,Liverpool,32-091,1992,10,10,888,9.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Miguel Almirón,py PAR,FW,Newcastle Utd,30-326,1994,7,1,141,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.6,2,6,16,0.00,0.00,0.00,0.00,0.00,0.30,0.11,0.41,0.30,0.41
Edson Álvarez,mx MEX,MF,West Ham,27-069,1997,15,10,883,9.8,0,0,0,0,0,0,6,1,0.2,0.2,0.5,0.7,11,43,9,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Will Alves,eng ENG,FW,Leicester City,19-333,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-167,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29
Joachim Andersen,dk DEN,DF,Crystal Palace,28-215,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Joachim Andersen,dk DEN,DF,Fulham,28-215,1996,10,10,873,9.7,0,0,0,0,0,0,2,1,0.2,0.2,0.2,0.5,5,39,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,22-056,2002,18,14,1132,12.6,0,5,5,0,0,0,4,0,1.0,1.0,2.8,3.7,26,58,51,0.00,0.40,0.40,0.00,0.40,0.08,0.22,0.29,0.08,0.29
André,br BRA,MF,Wolves,23-169,2001,15,13,978,10.9,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,40,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
